email,label,,,,,,,,,,,,,
xyqx168.com/images/?app=com-d3&amp;ref=tbaoletus.battle.net/d3/en/index,1,,,,,,,,,,,,,
'www.zkwell.com.cn/js/?ref=http\%3A\%2F\%2Flmtcxldus.battle.net\%2Fd3\%2Fen\%2Findex',1,,,,,,,,,,,,,
www.xjbctcky.com/images/?ref=us.battle.net/d3/en/index,1,,,,,,,,,,,,,
www.bjcurio.com/js/index.htm?ref=ukwrbpfus.battle.net/d3/en/index,1,,,,,,,,,,,,,
www.bjcurio.com/js/index.htm?ref=pwqlphkus.battle.net/d3/en/index,1,,,,,,,,,,,,,
www.bjcurio.com/js/index.htm?ref=luxkjjwus.battle.net/d3/en/index,1,,,,,,,,,,,,,
www.bjcurio.com/js/index.htm?ref=jgmmabgus.battle.net/d3/en/index,1,,,,,,,,,,,,,
rebbeca.comuf.com/,1,,,,,,,,,,,,,
www.streamgift.host-ed.me/,1,,,,,,,,,,,,,
steamzcommunity.olympe.in/freegames/luckyday/,1,,,,,,,,,,,,,
'ssl.allegro.pl-svv.com/\%20/authentication/enter_login.html',1,,,,,,,,,,,,,
www.mengzhai.org/Images/?secure.runescape.com/m=weblogin/loginform.ws?mod=www&amp;ogckqutamp;ssl=0&amp;dest,1,,,,,,,,,,,,,
'sysg.sdu.edu.cn/images/?us.battle.net/login/en/?ref=http\%3A\%2F\%2Ffolimweus.battle.net\%2Fd3\%2Fen\%2Findex&amp;app=com-d3',1,,,,,,,,,,,,,
secure.runescape.com.ppus.asia/m=weblogin/loginform.html?mod=www&amp;ssl=0&amp;dest,1,,,,,,,,,,,,,
www.nbyjcj.cn/images/?secure.runescape.com/m=weblogin/loginform.ws?mod=www&amp;vdensckamp;ssl=0&amp;dest,1,,,,,,,,,,,,,
secure.runescape.com.ppus.asia/m=weblogin/index.htm,1,,,,,,,,,,,,,
secure.runescape.com.ppus.asia/m=weblogin/loginform.html,1,,,,,,,,,,,,,
us.battle.net.ppus.asia/login/en/,1,,,,,,,,,,,,,
stud-ntnu-no.net.ms/,1,,,,,,,,,,,,,
www.paths2.org/images/eventlist/events/small/index.php,1,,,,,,,,,,,,,
appli.noowe.net/public/js/xinha_editor/zen/11/index.htm,1,,,,,,,,,,,,,
www.dzjhg.info/page/index.php,1,,,,,,,,,,,,,
'sysg.sdu.edu.cn/images/?us.battle.net/login/en/?ref=http\%3A\%2F\%2Fowgmevzus.battle.net\%2Fd3\%2Fen\%2Findex&amp;app=com-d3',1,,,,,,,,,,,,,
www.efrem.gr/out/news/nbhyavwc/bhbaa/384d84d858439384d84d85353844d853535353843ae3ae091d0d3faee8d938/tgpoa.htm?e9a4ba09f45dd538e053e9699bceea9fe9a4ba09f45dd538e053e9699bceea9f,1,,,,,,,,,,,,,
dcsonline.com.br/Recadastro.html,1,,,,,,,,,,,,,
www.knigtonlineworld.com/,1,,,,,,,,,,,,,
ambankgroup.com.servlet.satelite.xpoiiurqwsxc0983kjoiwadapspplmijoiqwepppsads.login.asp.a0osdp.datarecoveryexperts.co.ke/,1,,,,,,,,,,,,,
ventoinquieto.com/tmp/wells/fargo/,1,,,,,,,,,,,,,
surprisehoney.com/portal/realestate/opportunity/remax/hotmail-oauth.html,1,,,,,,,,,,,,,
sec.s5.com/cgi/aol.ssl,1,,,,,,,,,,,,,
www.noblesse-materiau.fr/AOLUPDATE/aol.html,1,,,,,,,,,,,,,
surprisehoney.com/portal/realestate/opportunity/remax,1,,,,,,,,,,,,,
surprisehoney.com/portal/realestate/opportunity/remax/,1,,,,,,,,,,,,,
